cartodb_id,country,cri_rank,cri_score,fatalities_per_100k_rank,fatalities_per_100k_total,fatalities_rank,fatalities_total,losses_per_gdp__rank,losses_per_gdp__total,losses_usdm_ppp_rank,losses_usdm_ppp_total,rw_country_code,rw_country_name
38,Suriname,135,124.5,114,0,114,0,135,,135,0,SUR,Suriname
39,Azerbaijan,135,124.5,114,0,114,0,135,,135,0,AZE,Azerbaijan
40,Australia,20,35.5,51,0.11,45,26,30,0.3342,6,3812.502,AUS,Australia
41,Angola,50,56,30,0.28,28,75,87,0.0388,74,71.805,AGO,Angola
42,Greece,67,65.33,98,0.02,90,2,39,0.2356,28,675.02,GRC,Greece
43,Guyana,135,124.5,114,0,114,0,135,,135,0,GUY,Guyana
44,Guinea,100,86.33,52,0.11,57,13,117,0.0029,123,0.446,GIN,Guinea
45,Honduras,44,52.17,43,0.15,60,12,46,0.1668,75,68.647,HND,Honduras
46,Ghana,8,23.33,10,0.99,10,267,35,0.2655,40,306.28,GHA,Ghana
47,Hungary,109,96.67,108,0.01,102,1,93,0.0249,76,64.401,HUN,Hungary
48,Islamic Republic of Iran,44,52.17,62,0.08,30,65,69,0.0708,21,976.328,IRN,Iran
